label,url
home,https://20minutos.es
login,https://20minutos.es/login
login,https://20minutos.es/signin
login,https://20minutos.es/account/login
home,https://3ds.com
login,https://3ds.com/login
login,https://3ds.com/signin
login,https://3ds.com/account/login
home,https://4shared.com
login,https://4shared.com/login
login,https://4shared.com/signin
login,https://4shared.com/account/login
home,https://abc.com
login,https://abc.com/login
login,https://abc.com/signin
login,https://abc.com/account/login
home,https://abc.es
login,https://abc.es/login
login,https://abc.es/signin
login,https://abc.es/account/login
home,https://abc.net.au
login,https://abc.net.au/login
login,https://abc.net.au/signin
login,https://abc.net.au/account/login
home,https://abcnews.go.com
login,https://abcnews.go.com/login
login,https://abcnews.go.com/signin
login,https://abcnews.go.com/account/login
home,https://about.com
login,https://about.com/login
login,https://about.com/signin
login,https://about.com/account/login
home,https://aboutads.info
login,https://aboutads.info/login
login,https://aboutads.info/signin
login,https://aboutads.info/account/login
home,https://abril.com.br
login,https://abril.com.br/login
login,https://abril.com.br/signin
login,https://abril.com.br/account/login
home,https://academia.edu
login,https://academia.edu/login
login,https://academia.edu/signin
login,https://academia.edu/account/login
home,https://accounts.google.com
login,https://accounts.google.com/login
login,https://accounts.google.com/signin
login,https://accounts.google.com/account/login
home,https://addthis.com
login,https://addthis.com/login
login,https://addthis.com/signin
login,https://addthis.com/account/login
home,https://addtoany.com
login,https://addtoany.com/login
login,https://addtoany.com/signin
login,https://addtoany.com/account/login
home,https://adobe.com
login,https://adobe.com/login
login,https://adobe.com/signin
login,https://adobe.com/account/login
home,https://adssettings.google.com
login,https://adssettings.google.com/login
login,https://adssettings.google.com/signin
login,https://adssettings.google.com/account/login
home,https://afternic.com
login,https://afternic.com/login
login,https://afternic.com/signin
login,https://afternic.com/account/login
home,https://akamaihd.net
login,https://akamaihd.net/login
login,https://akamaihd.net/signin
login,https://akamaihd.net/account/login
home,https://alibaba.com
login,https://alibaba.com/login
login,https://alibaba.com/signin
login,https://alibaba.com/account/login
home,https://alicdn.com
login,https://alicdn.com/login
login,https://alicdn.com/signin
login,https://alicdn.com/account/login
home,https://aliexpress.com
login,https://aliexpress.com/login
login,https://aliexpress.com/signin
login,https://aliexpress.com/account/login
home,https://amazon.ca
login,https://amazon.ca/login
login,https://amazon.ca/signin
login,https://amazon.ca/account/login
home,https://amazon.co.jp
login,https://amazon.co.jp/login
login,https://amazon.co.jp/signin
login,https://amazon.co.jp/account/login
home,https://amazon.co.uk
login,https://amazon.co.uk/login
login,https://amazon.co.uk/signin
login,https://amazon.co.uk/account/login
home,https://amazon.com
login,https://amazon.com/login
login,https://amazon.com/signin
login,https://amazon.com/account/login
home,https://amazon.de
login,https://amazon.de/login
login,https://amazon.de/signin
login,https://amazon.de/account/login
home,https://amazon.es
login,https://amazon.es/login
login,https://amazon.es/signin
login,https://amazon.es/account/login
home,https://amazon.fr
login,https://amazon.fr/login
login,https://amazon.fr/signin
login,https://amazon.fr/account/login
home,https://amazon.it
login,https://amazon.it/login
login,https://amazon.it/signin
login,https://amazon.it/account/login
home,https://amazonaws.com
login,https://amazonaws.com/login
login,https://amazonaws.com/signin
login,https://amazonaws.com/account/login
home,https://amzn.to
login,https://amzn.to/login
login,https://amzn.to/signin
login,https://amzn.to/account/login
home,https://android.com
login,https://android.com/login
login,https://android.com/signin
login,https://android.com/account/login
home,https://answers.com
login,https://answers.com/login
login,https://answers.com/signin
login,https://answers.com/account/login
home,https://aol.com
login,https://aol.com/login
login,https://aol.com/signin
login,https://aol.com/account/login
home,https://ap.org
login,https://ap.org/login
login,https://ap.org/signin
login,https://ap.org/account/login
home,https://apache.org
login,https://apache.org/login
login,https://apache.org/signin
login,https://apache.org/account/login
home,https://apnews.com
login,https://apnews.com/login
login,https://apnews.com/signin
login,https://apnews.com/account/login
home,https://apple.com
login,https://apple.com/login
login,https://apple.com/signin
login,https://apple.com/account/login
home,https://archive.org
login,https://archive.org/login
login,https://archive.org/signin
login,https://archive.org/account/login
home,https://arxiv.org
login,https://arxiv.org/login
login,https://arxiv.org/signin
login,https://arxiv.org/account/login
home,https://as.com
login,https://as.com/login
login,https://as.com/signin
login,https://as.com/account/login
home,https://asus.com
login,https://asus.com/login
login,https://asus.com/signin
login,https://asus.com/account/login
home,https://azurefd.net
login,https://azurefd.net/login
login,https://azurefd.net/signin
login,https://azurefd.net/account/login
home,https://bandcamp.com
login,https://bandcamp.com/login
login,https://bandcamp.com/signin
login,https://bandcamp.com/account/login
home,https://bbc.co.uk
login,https://bbc.co.uk/login
login,https://bbc.co.uk/signin
